epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,496.84,2.18119,2.27197,2.31237,0,0,0,0,nan,nan,nan,0.1,0.0328125,0.0328125
2,995.621,1.8287,1.50074,2.06909,0,0,0,0,nan,nan,nan,0.0993452,0.065491,0.065491
3,1492.7,1.77661,1.44102,1.98396,0.06266,0.00263,0.00592,0.00289,nan,nan,nan,0.0980303,0.0975095,0.0975095
4,1986.03,1.72527,1.30051,1.96175,0,0,0,0,nan,nan,nan,0.09703,0.09703,0.09703
5,2475.68,1.59976,1.17815,1.86559,0.00083,0.12179,0.00047,0.00017,nan,nan,nan,0.09604,0.09604,0.09604
6,2969.31,1.56796,1.11577,1.86217,0,0,0,0,nan,nan,nan,0.09505,0.09505,0.09505
7,3456.46,1.43745,1.01021,1.72284,0.018,0.87689,0.0176,0.00689,nan,nan,nan,0.09406,0.09406,0.09406
8,3950,1.3866,0.93863,1.67667,0.75849,0.50099,0.56977,0.21378,nan,nan,nan,0.09307,0.09307,0.09307
9,4444.77,1.34477,0.89244,1.64603,0.0042,0.46346,0.0033,0.0012,nan,nan,nan,0.09208,0.09208,0.09208
10,4936.38,1.27,0.81336,1.55993,0.0054,0.64648,0.00445,0.00198,nan,nan,nan,0.09109,0.09109,0.09109
11,5429.74,1.25422,0.78413,1.54119,0.27464,0.75839,0.26687,0.10358,nan,nan,nan,0.0901,0.0901,0.0901
12,5926.99,1.18536,0.73994,1.49402,0.28104,0.79921,0.26927,0.08089,nan,nan,nan,0.08911,0.08911,0.08911
13,6416.61,1.21794,0.77775,1.51774,0.54273,0.74856,0.59663,0.15941,2.97983,1.78061,2.79393,0.08812,0.08812,0.08812
14,6912.18,1.18508,0.72676,1.45988,0.00615,0.70968,0.00521,0.00185,nan,nan,nan,0.08713,0.08713,0.08713
15,7409.56,1.16171,0.71576,1.45749,0.57364,0.64038,0.62706,0.22687,2.67647,1.56977,2.77736,0.08614,0.08614,0.08614
16,7904.61,1.1306,0.70677,1.41923,0.45064,0.56155,0.54983,0.19293,2.62537,2.66582,2.59838,0.08515,0.08515,0.08515
17,8397.27,1.16487,0.70621,1.45275,0.5283,0.4582,0.45597,0.16228,2.57869,1.81261,2.76924,0.08416,0.08416,0.08416
18,8896.28,1.09319,0.68015,1.39932,0.32637,0.72087,0.45646,0.16793,2.46309,1.78055,2.91531,0.08317,0.08317,0.08317
19,9391.21,1.0907,0.65964,1.39809,0.50056,0.77617,0.59158,0.21301,2.65768,1.21232,3.04721,0.08218,0.08218,0.08218
20,9888.08,1.07095,0.66476,1.39122,0.43291,0.63463,0.52771,0.16138,2.81111,1.69811,3.00884,0.08119,0.08119,0.08119
21,10385.3,1.04889,0.642,1.36052,0.37094,0.27057,0.30964,0.0953,2.46583,2.7795,2.81156,0.0802,0.0802,0.0802
22,10881.2,1.02804,0.62852,1.35238,0.40348,0.38512,0.32674,0.12497,2.71706,3.31156,2.96218,0.07921,0.07921,0.07921
23,11381.3,1.03119,0.63315,1.36638,0.39507,0.0761,0.12199,0.04162,2.45174,3.99384,2.99255,0.07822,0.07822,0.07822
24,11878.3,1.01022,0.61777,1.33407,0.46216,0.46346,0.43046,0.17729,2.46985,2.9412,3.0757,0.07723,0.07723,0.07723
25,12371.7,1.04967,0.62488,1.3774,0.15395,0.45688,0.3124,0.10124,2.58689,4.91035,2.92095,0.07624,0.07624,0.07624
